net,length_um
net53,174.06
_009_,170.14
net44,153.68
_001_,150.01
_062_,145.22
_030_,138.36
_038_,135.12
net51,122.32
_070_,121.04
net47,92.66
net42,86.09
net40,85.11
_000_,84.1
net45,80.58
net38,77.12
net49,75.72
net36,75.43
net46,60.34
net50,55.32
net41,55.07
net37,52.89
net52,46.38
net48,46.19
net39,45.97
net31,39.5
net27,37.16
net30,34.92
net43,31.42
net10,31.38
dsa\[21\].y_out,30.82
net14,30.54
net13,29.58
net32,28.7
net8,28.26
dsa\[10\].y_in,27.78
net21,26.52
net26,24.54
x,24.51
dsa\[18\].y_out,24.46
net4,24.3
dsa\[19\].y_out_next,24.24
net1,23.68
dsa\[26\].y_out,23.18
net22,22.76
net23,21.14
dsa\[17\].y_out,19.94
net29,19.94
_021_,18.54
dsa\[10\].y_out_next,18.5
net20,18.24
net6,17.94
_041_,17.68
net7,16.56
dsa\[16\].y_out,15.6
_051_,15.34
dsa\[0\].y_out,15.3
dsa\[11\].y_out,15.26
a[13],15
dsa\[13\].y_out,14.72
a[10],14.54
dsa\[20\].y_out,14.26
net11,14.13
dsa\[15\].y_out,13.5
net5,13.48
net34,13.02
net9,12.94
_092_,12.8
a[9],12.7
dsa\[0\].last_carry,12.3
dsa\[22\].y_out,12.18
net25,12.14
net17,12.08
_002_,12
_050_,11.88
a[12],11.78
a[14],11.78
a[15],11.78
dsa\[28\].y_out,11.78
dsa\[5\].y_out,11.74
dsa\[0\].last_carry_next,11.665
dsa\[30\].y_out,11.66
dsa\[1\].last_carry,11.64
dsa\[11\].last_carry,11.54
_083_,11.48
_088_,11.42
_006_,11.18
dsa\[13\].y_out_next,10.92
_096_,10.84
dsa\[4\].y_out,10.82
_069_,10.72
net24,10.42
_099_,10.36
dsa\[10\].y_out,10.36
_005_,10.28
_063_,10.28
dsa\[17\].last_carry,10.16
dsa\[19\].y_out,9.94
_066_,9.74
_095_,9.74
_031_,9.7
_097_,9.7
dsa\[25\].y_out,9.7
dsa\[20\].last_carry,9.65
a[21],9.64
dsa\[17\].y_out_next,9.52
_064_,9.32
dsa\[22\].last_carry,9.24
_008_,9.22
_039_,9.18
_025_,9.12
_073_,9.12
_042_,8.98
net12,8.9
net2,8.88
net15,8.86
dsa\[27\].last_carry,8.78
a[22],8.72
a[23],8.72
a[24],8.72
a[28],8.72
a[29],8.72
a[7],8.72
_060_,8.7
_015_,8.56
_029_,8.56
dsa\[23\].y_out,8.56
dsa\[27\].y_out,8.56
_089_,8.42
dsa\[25\].last_carry,8.34
_032_,8.32
dsa\[13\].last_carry,8.2
dsa\[8\].y_out,8.16
_057_,8.12
